clasificacion,texto
Verdadero,No se divulgaron resultados oficiales previos al cierre de mesas en el balotaje
Falso,"Se difundieron en redes sociales supuestos primeros “resultados oficiales” del voto de argentinos en el exterior. La lista enumeraba a los candidatos más votados entre Sergio Massa, de Unión por la Patria, y Javier Mileil, de La Libertad Avanza, en países como Nueva Zelanda, Australia y Malasia. "
Verdadero,"En el balotaje 2023, las boletas con el número de lista arrancado se consideran válidas"
Falso,"En el balotaje 2023, las boletas con el número de lista arrancado se consideran inválidas"
Falso,"Miles de usuarios denuncian que, durante la jornada electoral del balotaje, hay boletas de La Libertad Avanza en el cuarto oscuro a las que se les arrancó el número de lista, y advierten que son inválidas."
Verdadero,"Miles de usuarios denuncian que, durante la jornada electoral del balotaje, hay boletas de La Libertad Avanza en el cuarto oscuro a las que se les arrancó el número de lista, y advierten que son inválidas. Pero esto es falso. Aunque tenga esta rotura, una boleta es válida siempre que esté visible el nombre del partido y la categoría de candidatos a elegir, confirmó a Reverso la Cámara Nacional Electoral."
Falso,Sergio Massa pronunció la frase “voy a poder con los narcos porque los conozco” en el último debate según Infobae
Falso,"Decenas de miles de usuarios comparten una placa de Infobae con una frase del candidato presidencial de Unión por la Patria, diciendo que va “a poder con los narcos” porque los conoce. Pero es falsa. Según las publicaciones virales, el funcionario habría hecho esos comentarios durante el último debate presidencial, el 12 de noviembre."
Falso,Mural de Lionel Messi lleva escrito “Aguante Massa”
Falso,"Aparece Mural de Lionel Messi en Rosario con la frase “Aguante Massa, forros”, en alusión al candidato presidencial de Unión por la Patria. "
Verdadero,"Durante las elecciones es usual que se viralice desinformación electoral. La desinformación en Tik Tok se caracteriza por contar con videos compilados con diversos fragmentos y hechos aislados sin contexto. En X, los comentarios de usuarios con X Premium  obtienen una optimización que los posiciona más arriba y en Spotify circulan podcasts que reproducen el contenido falso de redes sociales. "
Falso,"Javier Milei, en el debate por el balotaje 2023: “En la lucha contra el narcotráfico no hay (en Rosario) un solo policía preso”"
Verdadero,"De acuerdo con los datos de la Procuraduría de Narcocriminalidad, al menos 3 policías fueron condenados con pena de prisión en el marco de causas por narcotráfico en el Departamento de Rosario en 2021."
Verdadero,Es verdadero que Unión por la Patria pagó a Google por anuncios sobre el sitio “Loquedicemilei” durante el último debate
Verdadero,El Centro de Transparencia de Publicidad Política de Google muestra que desde el 11 de noviembre (día previo al debate) hasta el 13 de noviembre pasado el anunciante “Unión por la Patria” pagó por 12 anuncios para promocionar el sitio web “Loquedicemilei”.
Falso,Sergio Massa propone arancelar la universidad pública según Clarín
Verdadero,"Solamente el 3,5% de los delitos son condenados en la Argentina"
Verdadero,"En 2021, se denunciaron un total de 1,7 millones de hechos presuntamente delictivos en la Argentina, a la vez que se registraron un total de 50 mil sentencias penales condenatorias, según datos oficiales. Esto da como resultado un 2,9% de delitos con condena, cifra similar a la expresada por Milei."
Falso,AySA le pagó a Pablo Echarri $ 15 millones publico LN+
Verdadero,Es falso que AySA le pagó a Pablo Echarri $ 15 millones y la supuesta noticia no fue publicada por LN+
Verdadero,"Circula una foto del candidato presidencial de La Libertad Avanza consumiendo lo que parece un medicamento, y en redes se señala que el hecho ocurrió antes del tercer debate presidencial. Sin embargo, ciertos elementos de la imagen dan cuenta de que no fue tomada en ese contexto."
Verdadero,"En 2011 se registró el punto más alto de PBI per cápita en la Argentina, bajo la metodología de la Paridad de Poder Adquisitivo. Desde entonces, este indicador registró una caída de entre un 9% y un 10%, una reducción significativa."
Falso,"Javier Milei, en el debate por el balotaje 2023: “Cuando uno mira el producto per cápita argentino, está 15% por debajo (de 2011)”"
Verdadero,Milei plantea la vuelta de las AFJP en su propuesta a la justicia electoral”
Verdadero,"En la plataforma electoral de La Libertad Avanza aparece la vuelta de “un sistema de capitalización privado” para las jubilaciones. Es decir, el sistema que funcionó en la Argentina entre 1993 y 2008, con las AFJP."
Verdadero,La dolarización que propone (Milei) la tiene Zimbabue
Falso,"Javier Milei a Sergio Massa, en el debate por el balotaje 2023: “Con vos como ministro de Economía cayeron 33% los ingresos”"
Verdadero,Ninguno de los indicadores que miden la evolución de los salarios registra una caída del 33% en términos reales. No se llega a esta cifra durante la gestión de Massa como ministro ni durante la gestión completa del Frente de Todos. La medición de ingresos que elabora el INDEC a través de la Encuesta Permanente de Hogares muestra un comportamiento parecido.
Falso,90% de las exportaciones de 5 provincias argentinas son a China
Verdadero,"De acuerdo con los datos de comercio exterior del INDEC, en 2022 la Argentina destinó el 9% del total de su comercio exterior a China, mientras que en el primer semestre de 2023 se exportó a ese país el 8,1% del total. En 2022 sólo 6 provincias destinaron el 20% de sus exportaciones o más hacia China."
Falso,"La Argentina inició el siglo XX siendo el país más rico del mundo. Hoy, al tipo de cambio paralelo, somos 130"
Verdadero,"Según datos históricos publicados por la serie Maddison, en 1900 la Argentina se ubicaba en el puesto 13 entre 45 países analizados, si se tiene en cuenta el PBI per cápita por la Paridad del Poder Adquisitivo, y no en el primero. "
Verdadero,"Javier Milei, en el debate por el balotaje 2023: “La cantidad de empleados en el sector privado está estancado desde 2011”"
Verdadero,"Sergio Massa, en el debate por el balotaje 2023: “El 90% de los chicos que van a la Universidad de José C. Paz o de Florencio Varela es primera generación de estudiantes universitarios”"
