clasificacion,texto
Falso,Son falsos estos resultados de boca de urna adjudicados a 3 consultoras
Falso,"Circulan en redes sociales resultados presidenciales y de la Provincia de Buenos Aires adjudicados a las consultoras de opinión pública Management and Fit, Inteligencia Analítica Consultores Asociados S.A y Ricardo Rouvier & Asociados. Sin embargo, las 3 consultoras desmintieron públicamente haber divulgado esos números."
Falso,No se divulgaron resultados oficiales previos al cierre de mesas en el balotaje
Falso,"Se difundieron en redes sociales supuestos primeros “resultados oficiales” del voto de argentinos en el exterior. La lista enumeraba a los candidatos más votados entre Sergio Massa, de Unión por la Patria, y Javier Mileil, de La Libertad Avanza, en países como Nueva Zelanda, Australia y Malasia. Si bien la jornada electoral en esos países culminó horas antes del cierre de los comicios en la Argentina, la Cámara Nacional Electoral confirmó a Reverso que los resultados difundidos en redes no son los oficiales."
Falso,"En el balotaje 2023, las boletas con el número de lista arrancado se consideran válidas"
Falso,"Miles de usuarios denuncian que, durante la jornada electoral del balotaje, hay boletas de La Libertad Avanza en el cuarto oscuro a las que se les arrancó el número de lista, y advierten que son inválidas. Pero esto es falso. Aunque tenga esta rotura, una boleta es válida siempre que esté visible el nombre del partido y la categoría de candidatos a elegir, confirmó a Reverso la Cámara Nacional Electoral."
Falso,"Sergio Massa no pronunció la frase “voy a poder con los narcos porque los conozco” en el último debate, ni Infobae la publicó"
Falso,"Decenas de miles de usuarios comparten una placa de Infobae con una presunta frase del candidato presidencial de Unión por la Patria, diciendo que va “a poder con los narcos” porque los conoce. Pero es falsa. Según las publicaciones virales, el funcionario habría hecho esos comentarios durante el último debate presidencial, el 12 de noviembre, pero en ningún momento Massa hizo esas declaraciones."
Falso,"No, este mural de Lionel Messi no lleva escrito “Aguante Massa”; la foto fue alterada"
Falso,"A pocos días del balotaje, miles de usuarios de redes sociales comparten la foto de un mural de Lionel Messi al que se le agregó la frase “Aguante Massa, forros”, en alusión al candidato presidencial de Unión por la Patria. Pero la imagen fue alterada. Reverso comprobó que, un día después de que se viralizara la foto con la supuesta intervención, el mural no tenía ninguna frase."
Falso,Balotaje Elecciones 2023: cómo son utilizadas las redes sociales para difundir desinformación electoral
Falso,"Durante las elecciones es usual que se viralice desinformación electoral. La desinformación en Tik Tok se caracteriza por contar con videos compilados con diversos fragmentos y hechos aislados sin contexto. En X, los comentarios de usuarios con X Premium  obtienen una optimización que los posiciona más arriba y en Spotify circulan podcasts que reproducen el contenido falso de redes sociales. "
Falso,"Javier Milei, en el debate por el balotaje 2023: “En la lucha contra el narcotráfico no hay (en Rosario) un solo policía preso”"
Falso,"De acuerdo con los datos de la Procuraduría de Narcocriminalidad, al menos 3 policías fueron condenados con pena de prisión en el marco de causas por narcotráfico en el Departamento de Rosario en 2021."
Falso,"Sergio Massa, en el debate por el balotaje 2023: “Al principio del siglo XX, solo el 6% de la población estaba por encima de la línea de pobreza”"
Falso,"No existen registros que permitan establecer con certeza el nivel de pobreza existente en esa época. Los primeros datos oficiales de la Argentina comenzaron a producirse a partir de la década del ‘70, según coinciden los especialistas. El INDEC comenzó a medir la pobreza de una forma similar a como lo hace hoy a partir de 1988, pero los primeros datos correspondían sólo al Gran Buenos Aires. "
Verdadero,Es verdadero que Unión por la Patria pagó a Google por anuncios sobre el sitio “Loquedicemilei” durante el último debate
Verdadero,El Centro de Transparencia de Publicidad Política de Google muestra que desde el 11 de noviembre (día previo al debate) hasta el 13 de noviembre pasado el anunciante “Unión por la Patria” pagó por 12 anuncios para promocionar el sitio web “Loquedicemilei”.
Falso,Es falso el recorte de Clarín en el que Sergio Massa propone arancelar la universidad pública
Falso,"La imagen comenzó a circular en Facebook en octubre de 2013, pero volvió a viralizarse luego del debate presidencial del 12 de noviembre. Sin embargo, Clarín nunca publicó esa nota, como Reverso constató tras una búsqueda en su archivo digital de contenidos, y como confirmó Pablo Blanco, prosecretario de redacción del medio. "
Verdadero,"Javier Milei, en el debate por el balotaje 2023: “Solamente el 3,5% de los delitos son condenados en la Argentina”"
Verdadero,"En 2021, se denunciaron un total de 1,7 millones de hechos presuntamente delictivos en la Argentina, a la vez que se registraron un total de 50 mil sentencias penales condenatorias, según datos oficiales. Esto da como resultado un 2,9% de delitos con condena, cifra similar a la expresada por Milei."
Falso,Es falso que AySA le pagó a Pablo Echarri $ 15 millones y la supuesta noticia no fue publicada por LN+
Falso,"Tanto la supuesta noticia como la factura son falsas. Echarri aseguró que es responsable inscripto y no monotributista, como se lee en el documento que figura en la imagen. Además, el límite de facturación de la máxima categoría de monotributo es inferior al consignado en la desinformación."
Falso,"No, esta foto de Javier Milei con un medicamento no fue tomada en el contexto del debate por el balotaje 2023"
Falso,"Circula una foto del candidato presidencial de La Libertad Avanza consumiendo lo que parece un medicamento, y en redes se señala que el hecho ocurrió antes del tercer debate presidencial. Sin embargo, ciertos elementos de la imagen dan cuenta de que no fue tomada en ese contexto."
Falso,"Javier Milei, en el debate por el balotaje 2023: “Cuando uno mira el producto per cápita argentino, está 15% por debajo (de 2011)”"
Falso,"En 2011 se registró el punto más alto de PBI per cápita en la Argentina, bajo la metodología de la Paridad de Poder Adquisitivo. Desde entonces, este indicador registró una caída de entre un 9% y un 10%, una reducción significativa, aunque menor a la señalada por el candidato presidencial de La Libertad Avanza."
Falso,"No, esta lista de “fake news” sobre Javier Milei no fue publicada por Presidencia de la Nación y contiene propuestas que sí expresó el candidato de la Libertad Avanza"
Falso,"Javier Milei publicó en su cuenta oficial de Instagram una lista de supuestas noticias falsas sobre su persona. La placa lleva la firma y el logo de “Argentina Presidencia”. Sin embargo, esto es falso ya que no se trata de una publicación oficial hecha por el Poder Ejecutivo de la Nación. Además, las primeras “fake news” que enumera sí corresponden a propuestas o ideas que el candidato presidencial de La Libertad Avanza expresó públicamente en la campaña."
Verdadero,"Sergio Massa, en el debate por el balotaje 2023: “La vuelta de las AFJP (la) ha planteado (Milei) en su propuesta a la justicia electoral”"
Verdadero,"En la plataforma electoral de La Libertad Avanza aparece la vuelta de “un sistema de capitalización privado” para las jubilaciones. Es decir, el sistema que funcionó en la Argentina entre 1993 y 2008, con las AFJP."
Verdadero,"Sergio Massa, en el debate por el balotaje 2023: “La dolarización que propone (Milei) la tiene Zimbabue, por ejemplo”"
Verdadero,"De acuerdo con datos del Fondo Monetario Internacional (FMI), sólo 11 países del mundo adoptaron el dólar como moneda de curso legal, de los cuales 4 tienen a la divisa estadounidense como moneda única. Pero Zimbabue adoptó la divisa estadounidense como moneda única en 2009 y luego abandonó ese régimen."
Falso,"Javier Milei a Sergio Massa, en el debate por el balotaje 2023: “Con vos como ministro de Economía cayeron 33% los ingresos”"
Falso,Ninguno de los indicadores que miden la evolución de los salarios registra una caída del 33% en términos reales. No se llega a esta cifra durante la gestión de Massa como ministro ni durante la gestión completa del Frente de Todos. La medición de ingresos que elabora el INDEC a través de la Encuesta Permanente de Hogares muestra un comportamiento parecido.
Falso,"Sergio Massa, en el debate por el balotaje 2023: “90% de las exportaciones de 5 provincias argentinas son a China”"
Falso,"De acuerdo con los datos de comercio exterior del INDEC, en 2022 la Argentina destinó el 9% del total de su comercio exterior a China, mientras que en el primer semestre de 2023 se exportó a ese país el 8,1% del total. En 2022 sólo 6 provincias destinaron el 20% de sus exportaciones o más hacia China."
Falso,"Javier Milei, en el debate por el balotaje 2023: “La Argentina inició el siglo XX siendo el país más rico del mundo. Hoy, al tipo de cambio paralelo, somos 130”"
