clasificacion,texto
Verdadero,"El dato es correcto porque hasta el momento se entregaron casi 146 mil créditos de los 400 mil anunciados, pero aún resta un año para el cumplimiento del plan."
Verdadero,Macri: “[En Aerolíneas viaja] el 3% de la población”
Verdadero,"Si se considera la cantidad de personas que viajan en avión dentro del país el porcentaje es correcto. La cantidad de viajes, sin embargo, aumentó de manera significativa."
Verdadero,Zannini: “Un hito son los 521 acusados de crímenes de lesa humanidad ya condenados o los 1200 en proceso”
Verdadero,"En 2015, la cantidad de personas con condena alcanza a un total de 563. Los procesados, por otro lado, son más de 1100, una cifra similar a la mencionada."
Falso,Aguad: “Aumentó 100% la planta de empleados públicos [en Córdoba]”
Falso,"El empleo público provincial aumentó 70%, un fenómeno que también se dio en otras jurisdicciones. Aun así, Córdoba es la provincia con menor porcentaje de trabajadores estatales del país."
Falso,C5N: “La mayoría de los países de Europa son más desiguales que la Argentina”
Falso,"El país aumentó su igualdad con respecto a la década del ´90, pero aún así está lejos del promedio europeo. La distancia es histórica y se vincula, entre otras razones, con la mayor presencia e impacto de impuestos progresivos."
Falso,Carrió: “El 70% de los niños en la Argentina son pobres”
Falso,"Si bien no hay cifras oficiales confiables y la pobreza afecta en mayor medida a los menores de edad, ninguna de las estimaciones alternativas llega a ese porcentaje."
Falso,Zannini: “Duplicamos el PBI en diez años”
Falso,"Según datos del INDEC, hubo un crecimiento del 63%; los cálculos de expertos de la UBA y la Universidad de Harvard muestran un aumento inferior, del 49 por ciento."
Falso,"CFK: “De cada 10 créditos hipotecarios que se dan en la Argentina, 9 los da el Estado”"
Falso,"La mayoría de los préstamos para viviendas los otorgan instituciones estatales o provienen de fondos públicos, aunque no solo del Estado nacional sino también de otros como el porteño. Aún así, el crédito en el país es menor al de otros de la región."
Falso,"La Nación: “Fútbol para Todos, con más presupuesto que el Ministerio de Cultura”"
Falso,"El total de recursos presupuestados que tiene el área de Cultura este año son más que los que posee FPT. Sin embargo, si se considera la ejecución de ambas unidades, se puede ver que el Programa representó un mayor gasto que todo el Ministerio de Cultura entre 2011 y 2013."
Falso,"Novaresio: “En el ‘83 las provincias tenían el 49% de los recursos nacionales, hoy el 26%”"
Falso,"Si bien en las últimas décadas cayó el porcentaje de fondos nacionales distribuidos automáticamente a las provincias, el descenso fue en una proporción menor a la señalada por el periodista."
Falso,Espinoza: “El 98% de la población de La Matanza está conectada a la red de agua potable”
Falso,"Los últimos datos de población conectada muestran que el servicio abarca al 70% de los habitantes. Esto es así a pesar de que el Municipio tuvo, junto con Esteban Echeverría, el principal aumento de la zona del Gran Buenos Aires donde opera AySA."
Verdadero,Omar Perotti: “Santa Fe tiene el doble de tasa de homicidios que otras provincias”
Verdadero,"Rosario y Santa Fe Capital más que duplican la proporción de asesinatos cometidos en otras ciudades con información, aunque no se difunden datos oficiales sobre la tasa de homicidios en toda la Provincia de Santa Fe."
Falso,"Larreta: “[De los vagones que compramos] un 75% son nuevos, un 25% son usados”"
Falso,Es menor al señalado el porcentaje de los vagones cero kilómetro adquiridos por el Gobierno de la Ciudad para el subte.
Falso,Recalde: “Del crédito hipotecario hoy el 90% lo explica el Pro.Cre.Ar”
Falso,"Ocho de cada diez créditos de este tipo los otorgan instituciones estatales, principalmente del Estado nacional y del porteño. El Pro.Cre.Ar representa, sin embargo, un 21% del total."
Falso,"Larreta: “En Publicidad nosotros gastamos 0,87% del presupuesto, lo mismo que al comienzo del gobierno”"
Falso,"El gasto en Publicidad de la Ciudad hoy es mayor que al inicio de la gestión Macri. Los recursos destinados al área crecieron todos los años, salvo 2012."
Falso,Lousteau: “[El Hipódromo de Palermo] es el casino más grande del mundo en maquinitas”
Falso,"Si bien se trata de uno de los que más máquinas tiene, existen casinos más grandes."
Falso,Recalde: “Lo único que aumentó en materia de Educación es la cantidad de padres que pagamos del bolsillo la Educación”
Falso,"En la Ciudad hubo un incremento de la proporción de chicos que asisten a escuelas del sector privado, una tendencia que también se registra a nivel nacional."
Verdadero,Larreta: “[En Educación] hoy se gasta en términos reales un 18% más de lo que se gastaba al principio”
Verdadero,Entre 2007 y 2014 la inversión real porteña en Educación creció en las proporciones señaladas por el jefe de Gabinete.
Verdadero,Lousteau: “Hoy alrededor de uno de cada 12 o 13 vive en una villa”
Verdadero,Datos del Censo 2010 y del Gobierno de la Ciudad muestran que uno de cada diez porteños vive en esa situación.
Verdadero,Lousteau: “El Gobierno nacional no hace públicas las estadísticas [sobre el delito] desde 2009. El gobierno de la Ciudad tampoco”
Verdadero,La Nación dejó de publicar información completa sobre seguridad en 2008. La Ciudad no los publica porque las instituciones que recogen los datos no pertenecen a su jurisdicción.
Verdadero,Recalde: “La incidencia de la tasa de delito es 5 veces mayor en el Sur que en el Norte”
Verdadero,"En la Ciudad se registró una suba de los homicidios entre 2012 y 2013. El aumento se dio en la zona Sur de Buenos Aires, que registra hasta cinco veces más muertes que en la región Norte."
Verdadero,Larreta: “Todas las ciudades grandes del mundo tienen una sola policía”
Verdadero,"La mayoría de las ciudades más grandes del mundo cuentan con una policía metropolitana centralizada, con excepciones como Londres."
Falso,Massa: “En Argentina la corrupción no está tipificada en el Código Penal”
Falso,"La figura de corrupción no existe como tal porque incluye distintas acciones como el cohecho, la dádiva, el tráfico de influencias o la malversación. Los especialistas coinciden en que el problema no es la legislación, sino su aplicación."
Verdadero,Bullrich: “En la Argentina hoy hay 638 mil niños de 3 a 5 años que no van a la escuela”
