clasificacion,,texto,
Falso,Helicópteros de la F,Helicópteros de la Fuerza Aérea Argentina van a pulverizar desinfectante contra el coronavirus,
Falso,Los ancianos viven d,Los ancianos viven demasiado y eso es un riesgo para la economía global,
Falso,Nostradamus predijo ,Nostradamus predijo el coronavirus,
Falso,Ginés González Garcí,Ginés González García estuvo involucrado en la causa de medicamentos falsos,
Falso,Casi la mitad de las,Casi la mitad de las personas que reciben “planes sociales” son extranjeras,
Falso,Grabois es hijo de u,Grabois es hijo de una ex presidenta del PAMI acusada de corrupción,
Falso,Se votó una ley para,Se votó una ley para modificar la edad jubilatoria este año,
Falso,Otra vez circula la ,Otra vez circula la foto de la falsa Victoria Donda consumiendo cocaína,
Falso,Alberto Fernández di,Alberto Fernández dijo que el coronavirus “muere a los 26° C” en el ambiente,
Falso,La OMS recomienda qu,La OMS recomienda que uno tome muchas bebidas calientes porque el calor mata al virus,
Falso,Es engañoso que Male,Es engañoso que Malena Galmarini haya dicho que Daniel Scioli era lo más dañino para la Argentina y que hoy destaque su cargo de embajador,
Falso,Es engañoso que Giné,Es engañoso que Ginés González García dijo que no había posibilidad de que exista el coronavirus en la Argentina,
Falso,Una familiar de Fabi,Una familiar de Fabiola Yañez fue designada como presidente del Bapro,
Falso,Es engañosa la publi,Es engañosa la publicación que afirma que Mayra Mendoza se aumentó el sueldo,
Falso,El coronavirus actua,El coronavirus actual fue creado en 2014 por un instituto inglés,
Verdadero,Se destruyeron más d,Se destruyeron más de 240 mil empleos privados entre 2015 y 2019,
Falso,En el mandato de Mau,"En el mandato de Mauricio Macri la desocupación trepó a 9,7%",
Verdadero,La inseguridad alime,La inseguridad alimentaria tuvo un incremento del 71% entre el 2015 y el 2018 en nuestro país,
Falso,Soportamos un nivel ,"Soportamos un nivel récord de inflación del 53,8% durante el año 2019",
Verdadero,Un médico argentino ,Un médico argentino descubrió y está aplicando una vacuna contra el coronavirus en España,
Falso,Sofía Gala amenzó a ,Sofía Gala amenzó a Antonia Macri con la legalización del aborto,
Falso,Este video de la pol,"Este video de la policía deteniendo a un infectado de Coronavirus no es real, sino un simulacro",
Falso,Se confirmó un caso ,Se confirmó un caso de Coronavirus en Santiago del Estero,
Falso,Se confirmó un caso ,Se confirmó un caso de Coronavirus en Chaco,
Falso,Es verdadero que el ,Es verdadero que el Gobierno nacional reasignó fondos para el Ministerio de la Mujer,
Falso,Este video de una mu,"Este video de una murga cantando sobre el neoliberalismo es en Tecnópolis, sino en Uruguay",
Falso,Es verdadero que Cri,"Es verdadero que Cristina Kirchner declaró un patrimonio de $3,7 millones",
Falso,Este video que “desc,Este video que “describe lo ridículo que es todo en Argentina” es falso; no es de la BBC,
Falso,Una sobrina de Fabio,Una sobrina de Fabiola Yáñez fue designada presidente del Banco Provincia,
Falso,Es verdadero el vide,Es verdadero el video que muestra a una nena siendo arrastrada por el agua en Lomas de Zamora,
Verdadero,Una desinformación q,Una desinformación que vuelve: es falsa la imagen de Donda consumiendo cocaína,
Falso,El Ministerio de Seg,El Ministerio de Seguridad nacional ordenó modificar los emblemas de Gendarmería,
Falso,Ha habido un brutal ,"Ha habido un brutal crecimiento de la deuda pública: pasó del 52,6% del PBI en el año 2015 al 88,8% en el año 2019",
Verdadero,La desocupación aume,"La desocupación aumentó de 6,5% en el año 2015 al 10% en el año 2019",
Falso,Macri se solidarizó ,"Macri se solidarizó con los rugbiers de Zárate y dijo: “Algunos de sus padres son mis amigos, son gente de bien”",
Falso,Es verdadero que TN ,Es verdadero que TN anunció “Buenos Aires en default” mientras Kicillof declaraba que pagaría la deuda,
Falso,Un programa de tv es,Un programa de tv español comparó a Alberto Fernández con un pulpo que “tiene la cabeza llena de mierda”,
Falso,Es engañoso el poste,Es engañoso el posteo que sugiere que Daer pasó de pedir 150% de suba en el salario mínimo a negarse ahora a un 35% de golpe,
Falso,El Papa tiene un cua,El Papa tiene un cuadro de Perón y Evita en la foto con Fernández,
Falso,Grabois dijo que los,"Grabois dijo que los jubilados “no deberían votar, porque votan contra los intereses de la juventud”",
Falso,El Estado argentino ,El Estado argentino gasta $ 4 millones en un departamento en Puerto Madero y seguridad privada para Evo Morales,
Falso,Francisco Macri dijo,"Francisco Macri dijo: “En Argentina se perdió la cultura del trabajo, por eso volvió el peronismo”",
Falso,Es verdadero que Kic,"Es verdadero que Kicillof nombró a Lorena Riesgo, ex concejal y pareja de Baradel",
Verdadero,"Gómez Alcorta, sobre","Gómez Alcorta, sobre el plan contra la violencia de género: “En 2019 tenía presupuestado $ 67 millones y se ejecutaron 17 millones”",
Falso,Es verdadero que la ,Es verdadero que la ministra de Seguridad disolvió la Subsecretaría contra el Narcotráfico,
Verdadero,Es engañoso afirmar ,Es engañoso afirmar que Solá trató de “narco” a Aníbal y que ahora lo felicitó por su nombramiento,
Falso,Es verdadero que CFK,"Es verdadero que CFK declaró un patrimonio de $ 3,7 millones",
Falso,Cristina Fernández d,Cristina Fernández de Kirchner tuiteó sobre la “caradurez” de Guaidó,
