clasificacion,texto
Falso,Es falso que los termómetros infrarrojos pueden producir daños en la retina
Falso,"No, la fachada de la fundación Bill & Melinda Gates no dice “centro para la reducción de población global de seres humanos”"
Falso,Capitán del Espacio dice que es falso el audio sobre la supuesta intención del Gobierno de expropiar su fábrica de alfajores
Falso,"PRO: “En estos 6 meses, Fernández publicó 44 DNU, un promedio de 7,33, 5 veces más que Macri”"
Falso,Fernández dijo que respeta el distanciamiento con la gente y que “todas” las selfies son “a un metro y medio”
Verdadero,Son verdaderas las recomendaciones del médico Faheem Younus sobre el coronavirus
Falso,"No, Donda no dijo “en la izquierda preferimos que todos sean pobres y que no haya desigualdad”"
Verdadero,"Kicillof, sobre el canje de deuda bonaerense: “En los próximos 4 años vence el 80%”"
Falso,Es falso que Bill Gates enfrenta un juicio en la India por probar vacunas ilegalmente
Falso,"Alberto Fernández, sobre las medidas del Gobierno: “Han significado el 2,6% del PBI”"
Falso,Es falso que Esteban Lamothe actuará en una película de Florencia Kirchner sobre Axel Kicillof
Falso,Es falso que la vacuna contra el nuevo coronavirus existe desde 2001
Falso,Prat Gay: “Se están fugando US$ 2.500 millones por mes en la Argentina”
Verdadero,"Rodríguez Larreta: “La edad promedio de los fallecidos en la Ciudad es de 76,3 años y de los mayores de 80 que se contagian, casi 1 de cada 4 fallece”"
Falso,"El video de Milagro Sala bailando no es reciente ni durante la cuarentena, es del 31 de diciembre de 2019"
Verdadero,"Kicillof, sobre el coronavirus: “No es verdad que es un problema solo de barrios populares, ni que los contagios sean un problema solamente de la gente de edad”"
Falso,Kicillof: “Es mentira que se han realizado menos test o pocos test. En la Provincia llevamos realizados 60 mil test y en la Ciudad 38 mil”
Falso,Es falso que a Juan Castro “lo mataron” por tener fotos de Cristina Fernández y Amado Boudou
Falso,Es falso que el uso o abuso de la mascarilla produzca hipercapnia o hipoxia
Falso,"Italia: es falso que el 96,3% de los muertos registrados por COVID-19 fallecieron por otras patologías"
Verdadero,"Cafiero, sobre Europa, EE.UU. y Brasil: “Cuando vemos los muertos en su gran mayoría son de trabajadores populares”"
Verdadero,"Sí, Alberto Fernández dijo: “Venimos con Gildo a poner en pie a Formosa”"
Verdadero,Son verdaderas las fotos de Alberto Fernández sin barbijo y sin distanciamiento social en Formosa
Falso,Lacunza: “En 2015 había un déficit primario de 5 puntos del PBI y en 2019 terminó casi equilibrado”
Falso,"No, Messi no dijo “acá hubo un golpe de estado planetario” sobre la pandemia del coronavirus"
Falso,Es engañoso el posteo sobre la compra de respiradores por parte de la Provincia de Buenos Aires
Falso,Es falso que el uso o abuso de la mascarilla produce hipercapnia o hipoxia
Verdadero,"Sí, TN dijo que en Iguazú había 100 casos confirmados por coronavirus, pero el número real es la cuarta parte"
Falso,"Es falso que Putin dijo sobre los presos: “Si están presos, es por algo. No pienso pedirle piedad a ninguno, cuando ellos no las tuvieron con sus víctimas”"
Falso,Son engañosas estas publicaciones con una frase del infectólogo Pedro Cahn sobre el fin de la cuarentena sacada de contexto
Falso,"Alberto Fernández, sobre la planta de Las Talitas, en Tucumán: “El mérito es de Cristina que la terminó en 2015”"
Falso,"No, esta foto de Alberto Fernández junto a Juan Manzur no fue tomada durante la cuarentena, sino en septiembre de 2019"
Falso,"No, Clarín no anticipó la pandemia del virus que provoca la COVID-19 sino que publicó en 2003 información de otro coronavirus"
Falso,Es falso que los funcionarios y sus familiares estén exceptuados del impuesto “PAIS” del 30%
Falso,"Es falso que Baradel propuso “incorporar lenguas originarias y así preparar a los chicos para un futuro, que será más justo y equitativo para todos”"
Falso,"Kicillof: a los 80 días desde el primer caso, la Argentina tiene 10 mil casos; Chile, 60 mil y Brasil, 200 mil"
Falso,Es falso que A24 presentó una noticia de Evo Morales en un auto de alta gama en Buenos Aires
