clasificacion,texto
Falso,"Los montos reales de inversión durante la gestión PRO son los más altos desde 2003. Sin embargo, la participación de ese ítem como porcentaje del presupuesto total se redujo a diferencia de otras partidas con montos similares, como Publicidad."
Verdadero,El jefe de Gobierno porteño en 2015 vetó más leyes que el Poder Ejecutivo Nacional.
Falso,CFK: “Cuando Néstor [Kirchner] llegó al Gobierno (…) los jubilados representaban el 66%”
Verdadero,"Massa: “De cada $100 que los misioneros pagan de impuestos, $76 se los lleva Cristina”"
Verdadero,"El precandidato a presidente del Frente Renovador lo puso como ejemplo de la centralización de los recursos. Si bien el gobierno nacional se queda con la mayor parte, una porción importante se destina a la ANSES, que cubre jubilaciones en todo el territorio."
Verdadero,"El empleo no registrado aumentó entre 2013 y 2014; pero la tendencia muestra que la proporción de trabajadores en esta situación no crece, como dijo el secretario general de la CTA opositora, sino que está estancada desde 2010."
Falso,Clarín: “Aprenden menos los alumnos del Norte del país”
Falso,"El norte argentino posee, efectivamente, bajos resultados en los exámenes de calidad educativa y sus provincias se ubican lejos del promedio nacional."
Verdadero,"El norte argentino o NEA incluye a las provincias de Corrientes, Chaco, Formosa y Misiones "
Verdadero,"Recalde: “La empresa Aerolíneas Argentinas tiene todos sus balances presentados, auditados y aprobados por la AGN”"
Verdadero,El presidente de Aerolíneas dijo que la información es pública y pasó por el control de la Auditoría General de la Nación. 
Verdadero,"La carga impositiva en nuestro país aumentó considerablemente en la última década (2005-2015) y es la más alta desde 1970. La Argentina se ubica segunda en la región y por debajo de los porcentajes de los países de la OCDE, pero sin niveles de prestación de servicios equiparables."
Falso,Berni: “En 2015 en la Argentina no se producen drogas”
Verdadero,Partes del proceso de fabricación de drogra se realiza en Argentina
Falso,Donda: “[Naciones Unidas] ha recomendado a los Estados miembros que consideren abandonar el uso de armas eléctricas Taser”
Falso,El organismo internacional manifestó varias veces en casos de otros países la reticencia de lar armas eléctricas Taser.
Verdadero,CFK: “[Invertimos] más de US$1.200 millones en trenes para pasajeros en todo el AMBA”
Verdadero,"El Gobierno nacional adquirió, entre 2008 y 2014, 974 coches 0km para los trenes metropolitanos urbanos por un total de más de US$ 1.100 millones, algo que no ocurría desde 1985. Si se suman otras compras dentro de esa región pero de media distancia, se llega al número citado por la Presidenta."
Verdadero,Sanz: “Nueve de cada diez votaciones en 2015 en el Parlamento las hemos hecho con el PRO”
Verdadero,Ambas fuerzas votaron igual en la mayoría de las votaciones desde 2014. 
Verdadero,Macri: “Son 250 mil chicos de los primarios porteños que han recibido su netbook”
Verdadero,El Gobierno de la Ciudad de Buenos Aires entregó esa cantidad de computadoras a través del Plan Sarmiento. Las netbooks mejoran el acceso a la tecnología y el desarrollo de nuevas capacidades.
Verdadero,"durante el período 2011-2013, la tasa de mortalidad infantil en la Ciudad fue mayor a la de los trienios 2005-2007 y 2008-2010."
Falso,Pagni: “Casación estableció que cualquier delito ligado a la investigación del atentado contra la AMIA es crimen de lesa humanidad”
Falso,Rodríguez Saá: “San Luis no tiene ninguna villa”
Verdadero,"Según los especialistas, la Justicia es un poder contramayoritario. La Constitución argentina propone al Poder Judicial como el garante de los derechos de las minorías frente a los otros poderes del Estado, que representan a las mayorías."
Verdadero,Randazzo: “Los únicos coches 0km que tiene el Gobierno de la Ciudad son los adquiridos por Nación para la Línea A”
Verdadero,La gestión de Mauricio Macri adquirió más de 200 coches de subte.
Falso,Gollán: “[El aborto] es una causa de muerte materna”
Falso,El aborto se trata de la principal causa de mortalidad vinculada con el embarazo.
Falso,Lorenzetti: “La sentencia por la causa del atentado a la Embajada de Israel es cosa juzgada”
Verdadero,"El fallo de 1999 que citó el presidente de la Corte ordenó continuar con algunas líneas de investigación. Además, una sentencia de 2006 sobre la prescriptibilidad del delito ratifica que la causa continúa abierta."
Verdadero,Scioli: “En 2015 Alcanzamos la tasa de mortalidad infantil más baja de la historia en Argentina”
Falso,"Según Verbitsky, el presupuesto de inteligencia del Ejército creció por debajo del presupuesto del Ministerio de Defensa"
Verdadero,"Desde que Milani fue designado al frente de Inteligencia del Ejército los montos crecieron por encima del Ministerio de Defensa, la Inteligencia de las Fuerzas Armadas y la ex SIDE"
Falso,"Santilli: “El juego no lo maneja la Ciudad, nosotros no somos parte [del acuerdo firmado por Ibarra]”"
Falso,"CFK: “Un hogar argentino consume cuatro veces más [energía que] Brasil, tres veces más que Chile y Uruguay”"
Falso,"La demanda energética es mayor a la de los otros países de la región, pero las diferencias no son tan marcadas como señaló la Presidenta."
Falso,Majdalani (PRO): “En la Secretaría de Inteligencia no todos los fondos son reservados”
Falso,"Los gastos de la SI (Secretaría de inteligencia) son secretos en la práctica, porque no hay control externo y la Ley de Inteligencia sólo exige un acta de su titular justificando las erogaciones ante la Contaduría General. "
Falso,Aníbal Fernández: “Los datos personales se pueden hacer conocer (…) cuando medien razones fundadas de preocupación pública”
Verdadero,"La ley 25.326 sólo permite que se den a conocer datos con orden judicial cuando haya cuestiones de seguridad pública, defensa nacional o salud pública, no de preocupación."
Verdadero,El transporte marítimo es más barato que el terrestre en todo el mundo.
Verdadero,CFK: “Todos los alumnos y docentes tienen una computadora de ‘Conectar Igualdad’”
Verdadero, Por primera vez desde que se lanzó el programa se completó la entrega de las netbooks a todo el universo contemplado. Hay controversia sobre el uso que se les da en las aulas.
Verdadero,Javkin: “La infraestructura de control [en los puertos de Rosario] es absolutamente deficiente”
Verdadero,Los informes de la Auditoría General de la Nación y de la Jefatura de Gabinete dan cuenta que os controles del Gobierno nacional en las terminales portuarias de la zona son defectuosos.
Falso,"Zaffaroni: “Entre 2002 y 2012, entre homicidios, tránsito y suicidios, Brasil perdió más de dos millones de habitantes”"
Falso, Brasil presenta cifras de muertes violentas de 500000 habitantes
Verdadero,Felipe Rodríguez Laguens: “El 90% de los siniestros se producen por error humano”
Verdadero,Galuccio: “En dos años hemos fabricado el yacimiento que produce más petróleo no convencional en el mundo fuera de EEUU”
