clasificacion,texto
Falso,"Solanas: “El 90% de lo que exportamos a China son productos primarios, y el 90% de lo que le importamos son bienes industriales”"
Falso,"VERDADERO, PERO... La relación comercial con el país asiático presenta las características citadas, aunque en las exportaciones se incluyen las Manufacturas de Origen Agropecuario (MOA), principalmente aceites, que si bien no son de carácter primario, comercialmente se comportan como tales."
Verdadero,CFK: “Hoy las emisiones de dióxido de carbono de los países avanzados (…) son más de 35 veces las de los países de menores ingresos”
Verdadero,"VERDADERO, PEROLas cifras mencionadas por la presidenta coinciden con los datos disponibles, pero la  emisión per cápita de los países con más ingresos es la más baja desde 1986. La diferencia con el resto de las naciones también disminuye.  "
Verdadero,Rossi: “El crecimiento del delito narco tuvo lugar durante los cuatro años de gobierno de Binner y el año de Bonfatti”
Verdadero,INSOSTENIBLEEl diputado aseguró que el tráfico de drogas en la provincia es responsabilidad de los gobernadores. Pero no hay suficiente evidencia como para asegurar que se trata de un fenómeno exclusivamente provincial y de los últimos cinco años.
Falso,Alberto Pérez: “Hoy otras provincias paradójicamente reciben más que nosotros [por el fondo del conurbano]”
Falso,VERDADEROEl jefe de Gabinete bonaerense habló de los problemas fiscales de la Provincia y de su desventaja en la repartición de recursos coparticipables. El dato que citó es exacto.
Verdadero,Héctor Recalde: “Seis o siete hipermercados concentran el 85% de las ventas del país”
Verdadero,"EXAGERADOLa concentración existe, pero en menor grado que la planteada por el diputado y no difiere de la de otros países."
Falso,"Alak: “[Hemos] designado una inmensa cantidad de jueces,(…) no puede atribuirse (…) al Ejecutivo solamente que todavía haya vacantes”"
Falso,"ENGAÑOSOEl ministro aseguró que el gobierno ha designado “una inmensa cantidad de jueces”. Si bien el número es alto, ello responde a las vacantes que se abrieron y no sólo a una decisión del Ejecutivo. Además, el oficialismo tiene influencia en el Consejo de la Magistratura, el otro responsable de los retrasos."
Falso,Yauhar: “Los mayores exportadores de granos de los últimos tiempos fueron AFA y ACA”
Falso,"FALSOEl ministro de Agricultura afirmó que las principales exportadoras agrícolas son cooperativas nacionales. Aunque se cuentan entre las 15 primeras, no son las mayores."
Falso,Macri: “[Redujimos] la basura en un 5%”
Falso,"VERDADERO, PERO…El jefe de Gobierno de la Ciudad se refirió al compromiso de reducir la cantidad de desechos que se producen. Efectivamente el año pasado hubo una baja, pero relativamente pequeña en relación con las exigencias de la Ley de Basura Cero."
Verdadero,"CFK: “Todas las líneas aéreas del mundo, absolutamente todas, son deficitarias”"
Verdadero,"FALSOLa Presidenta quiso defender así la gestión de Aerolíneas Argentinas. Sin embargo, existen aerolíneas en la región y en el mundo que obtuvieron resultados positivos en los últimos dos años, además de registrar mejores indicadores físicos de eficiencia e inversión."
Falso,Gils Carbó: “Solo llega a condena el 10% de los delitos económicos”
Falso,"VERDADEROLas estadísticas, tanto las oficiales como las de ONG, muestran esa tasa de condena. Entre las razones se encuentran la falta de incentivos para la investigación de casos complejos, la falta de formación y recursos en ciertos organismos y la duración de las causas."
Verdadero,Rossi: “Se han rescatado casi 4000 chicas víctimas de la trata desde el 2008”
Verdadero,"VERDADERO, PERO...Los datos oficiales respaldan los dichos del diputado, aunque se refieren a personas de ambos sexos. Los especialistas consultados y los organismos de derechos humanos mencionan el bajo porcentaje de condenas."
Verdadero,CFK: “Los jueces nunca se condenan a sí mismos”
Verdadero,"FALSOLa Presidenta quiso remarcar así el carácter corporativo del Poder Judicial. Los especialistas consultados coinciden en que si bien las destituciones no son habituales, existen varios casos. Además, desde la vuelta de la democracia hay más condenas penales a jueces que a legisladores y funcionarios de primera línea."
Falso,Bullrich: “El Gobierno de la Ciudad ha triplicado el salario docente”
Falso,"ENGAÑOSOEl ministro de Educación porteño utilizó este argumento para defender la política llevada a cabo por la gestión actual. La afirmación coincide con los datos oficiales, pero comparándolos con los de otras provincias se produjo un deterioro de la situación salarial de los docentes."
Falso,Zaffaroni: “[La Argentina] no registra cifras alarmantes de criminalidad en relación con las de la región”
Falso,"VERDADERO, PERO…Es cierto que las tasas registradas de criminalidad son bajas en comparación con la región, pero ésta es una de las más violentas del mundo."
Verdadero,“El PAMI no está alcanzado por el decreto de acceso a la información pública”
Verdadero,"Así lo argumentó en la instancia judicial el Instituto Nacional de Servicios Sociales para Jubilados y Pensionados (INSSJP, es decir el PAMI) ya que se trata de un organismo no estatal. Sin embargo, tanto el fallo de la Corte como la opinión de los especialistas lo contradicen."
Falso,Feletti y la Ley de Basura Electrónica
Falso,"DISCUTIBLEEl diputado argumentó que el proyecto que perdió estado parlamentario no tenía antecedentes internacionales y perjudicaba la competitividad de las empresas, además de obligarlas a importar tecnología. No está claro que su implementación hubiera tenido esos efectos."
Falso,CFK: “En el 2011 el 90% de las personas que necesitaban de un medicamento especial (…) lo recibieron a través de este plan”
Falso,EXAGERADOLa Presidenta se refirió así al alcance del Programa Remediar. Ese plan alcanzó una cobertura similar en los centros de atención primaria pero no en los hospitales públicos.
Falso,"Kicillof: “La demanda [eléctrica] se expandió un 41% entre el 2003 y el 2011, casi un 50% más que en la fase neoliberal”"
Falso,"VERDADERO, PERO…Es cierto que el consumo eléctrico creció desde el final de la década del ’90, aunque la producción energética no acompañó ese proceso. "
Verdadero,Scoccimarro: “La pauta oficial representa sólo el 5% del total en relación a la privada”
Verdadero,"ENGAÑOSOEl funcionario omitió el gasto de Fútbol para Todos. Si se suma este programa, la inversión de la Nación alcanza el 8% del total, lo que la convierte en uno de los principales actores del mercado. Además, no mencionó el crecimiento de la pauta pública en el mismo periodo, que fue mayor a la total."
Falso,Facundo Moyano: “El salario mínimo va a estar en $ 2800 y se cuenta como ocupados a trabajadores que están cobrando $ 1700”
Falso,"VERDADERO, PERO...El diputado cuestionó que se considere como ocupados a beneficiarios que estarían cobrando por debajo del salario mínimo. Si bien hoy el Ministerio de Desarrollo Social informa que los cooperativistas cobran un ingreso similar por ocho horas, en la práctica existen excepciones."
Verdadero,Moyano: “No es posible que haya el 40% de trabajo precario”
Verdadero,VERDADEROEl sindicalista habló de la situación de los trabajadores. Efectivamente una parte importante de los ocupados están desprotegidos.
Verdadero,CFK: “[Este] proyecto político ha generado más de cinco millones y medio de puestos de trabajo”
Verdadero,ENGAÑOSOLa Presidenta se refirió a la creación de empleos. Pero los puestos de trabajo no son sinónimo de nuevos trabajadores.
Falso,Prat Gay: “La inversión cayó al mismo ritmo que [en] el 2001”
