tweet,autor,posicion_autor,rating
“Hay una resolución del Congreso de los Diputados de la época del Gobierno del Partido Popular a favor del reconocimiento del Estado palestino y de la solución de los dos Estados votada por unanimidad”,Esteban González Pons,Vicesecretario general del PP,Verdad a medias
"""Nuestra deuda con el Estado es treinta veces inferior a la deuda de Cataluña""",Alfonso Rueda,Presidente de la Xunta de Galicia,Verdadero
“Desde el año 2020 le arrebatamos el liderazgo en número de trabajadores autónomos a Cataluña que era la comunidad que lo tenía y ahora lo tiene Andalucía”,Juan Manuel Moreno,Presidente de Andalucía,Verdad a medias
“[Impuesto temporal de grandes fortunas y solidaridad] En otros países como Francia o Argentina tuvo que ser retirado por ilegal”,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Falso
"“En esta Cámara yo traje una propuesta de Gobierno en solitario, e incluso Vox dijo que no se opondría a un acuerdo entre el PP y el PSOE, que fue lo que yo le propuse a los socialistas”",Alberto Núñez Feijóo,Presidente del PP,Verdad a medias
"“Ustedes han modificado la ley para prohibir, por ejemplo, rezar delante de una clínica abortiva”",Alberto Catalán Higueras,Diputado,Engañoso
“Eso sí rompe España: 6.268.000 parados; una tasa de paro juvenil del 56%; perdimos 400.000 personas autónomas gracias a su nefasta gestión cuando vivimos la crisis financiera”,Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Engañoso
"“La última vez que el Partido Popular estuvo en el poder (...) era legal que las viviendas públicas, pagadas con los impuestos de todos, se vendieran a fondos buitre y se privatizaran”",Pedro Sánchez,Presidente del Gobierno,Engañoso
“El PP fue de los pocos partidos políticos dentro del Partido Popular Europeo que rechazó la salida de Orbán del grupo”,Pedro Sánchez,Presidente del Gobierno,Verdad a medias
"""Tenemos una de las inflaciones más bajas de Europa, la energía más barata y unos niveles de inversión extranjera récord""",Pedro Sánchez,Presidente del Gobierno,Engañoso
"“Quien ha incrementado la deuda pública de nuestro país ha sido el PP, que la incrementó en 32 puntos, pasó del 70 al 102%, deuda que se empleó para rescatar a la banca en nuestro país”",Yolanda Díaz,Vicepresidenta segunda del Gobierno y ministra de Trabajo y Economía Social,Verdad a medias
"“Los últimos datos de Eurostat sobre el tercer trimestre del año 2023 sitúan a España como el país que más empleo crea con un aumento del 1,3% en el último año”",Pedro Sánchez,Presidente del Gobierno,Verdad a medias
